"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",0,1,1,0,1,0,76.126283600805,"0"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",1,0,1,0,1,0,84.4894538541443,"1"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",0,1,1,0,1,0,67.7741678629041,"0"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",0,1,1,0,1,0,84.5766542249081,"0"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",0,1,1,0,1,0,63.1105698246826,"0"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",0,1,1,0,0,1,81.5143593972784,"0"
7,"A239",68.611,0.035,0.963,0.002,"Env1",1,0,1,0,1,0,72.4438596482768,"1"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",1,0,1,0,0,1,70.7327680635942,"1"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",1,0,1,0,1,0,92.9710741022005,"1"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",1,0,1,0,1,0,64.8427041115505,"1"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",0,1,1,0,1,0,67.4937009369314,"0"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",1,0,1,0,0,1,78.9812337323661,"1"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",0,1,1,0,1,0,68.7651376575854,"0"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",1,0,1,0,0,1,68.662450579635,"1"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",1,0,1,0,0,1,75.7161856600225,"1"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,68.1289844940266,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",0,1,1,0,0,1,60.1914674479971,"0"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",0,1,1,0,1,0,59.5391512950242,"0"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",0,1,1,0,1,0,75.813624477632,"0"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",1,0,1,0,0,1,58.1019888367294,"1"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",0,1,1,0,0,1,70.7636227550126,"0"
22,"A680",72.822,0.993,0.004,0.002,"Env1",1,0,1,0,0,1,69.3095099282013,"1"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",0,1,1,0,1,0,74.0115920681226,"0"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",0,1,1,0,0,1,85.1892957009055,"0"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",1,0,1,0,1,0,83.6910730187789,"1"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",1,0,1,0,0,1,76.3383468444084,"1"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",0,1,1,0,1,0,65.4622080647281,"0"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",0,1,1,0,0,1,79.2998222509908,"0"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",1,0,1,0,0,1,67.0115638535265,"1"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",0,1,1,0,1,0,71.2308578393392,"0"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",0,1,1,0,0,1,73.8183390207825,"0"
32,"B164",71.7268,0.233,0.756,0.011,"Env1",0,1,1,0,0,1,69.9670297713292,"0"
33,"B2",70.1453,0.007,0.988,0.005,"Env1",1,0,1,0,1,0,69.5559175069567,"1"
34,"B37",74.1355,0.997,0.002,0.001,"Env1",1,0,1,0,0,1,71.6276659845562,"1"
35,"B46",73.7353,0.214,0.784,0.002,"Env1",1,0,1,0,1,0,74.1610741622725,"1"
36,"B52",75.3501,0.012,0.985,0.003,"Env1",0,1,1,0,1,0,69.3778026226396,"0"
37,"B57",71.5856,0.002,0.996,0.002,"Env1",1,0,1,0,1,0,81.6497294283907,"1"
38,"B64",63.7854,0.988,0.002,0.01,"Env1",1,0,1,0,0,1,70.7140484720681,"1"
39,"B68",76.5085,0.998,0.001,0.001,"Env1",1,0,1,0,0,1,92.289731466076,"1"
40,"B73",72.0762,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,76.0948032368453,"1"
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,83.047352791732,"1"
42,"B75",71.7824,0.005,0.993,0.002,"Env1",0,1,1,0,1,0,72.0349813378364,"0"
43,"B76",72.3682,0.912,0.087,0.001,"Env1",1,0,1,0,0,1,72.7075188443383,"1"
44,"B77",72.9512,0.083,0.915,0.002,"Env1",1,0,1,0,1,0,71.0834582360503,"1"
45,"B79",74.597,0.305,0.693,0.002,"Env1",0,1,1,0,1,0,71.4380963171622,"0"
46,"B84",75.2271,0.996,0.003,0.001,"Env1",0,1,1,0,0,1,76.3863930123187,"0"
47,"B97",74.188,0.016,0.981,0.003,"Env1",1,0,1,0,1,0,83.5577895411342,"1"
48,"C103",73.7944,0.002,0.997,0.001,"Env1",0,1,1,0,1,0,84.9540857202634,"0"
49,"C123",70.3352,0.047,0.952,0.002,"Env1",0,1,1,0,1,0,69.0704659141327,"0"
50,"C49A",61.4123,0.127,0.869,0.004,"Env1",1,0,1,0,0,1,63.6387047705707,"1"
51,"CH70130",69.5911,0.004,0.993,0.003,"Env1",1,0,1,0,1,0,63.30295734226,"1"
52,"CH9",71.0825,0.003,0.992,0.006,"Env1",0,1,1,0,1,0,62.5025618626698,"0"
53,"CI1872",76.8145,0.006,0.992,0.002,"Env1",0,1,1,0,1,0,76.9518135459536,"0"
54,"CI21E",76.1651,0.119,0.866,0.014,"Env1",1,0,1,0,1,0,77.7665187106321,"1"
