"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",1,0,1,0,1,0,87.8879990466293,"1"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",0,1,1,0,1,0,74.0732423812911,"0"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",0,1,1,0,1,0,69.7316633126255,"0"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",0,1,1,0,1,0,76.0631534239568,"0"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",1,0,1,0,1,0,63.0025612827954,"1"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",1,0,1,0,0,1,83.5094277790154,"1"
7,"A239",68.611,0.035,0.963,0.002,"Env1",1,0,1,0,1,0,81.2838563687877,"1"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",1,0,1,0,0,1,85.2847031153808,"1"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",0,1,1,0,0,1,72.9819008183117,"0"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",0,1,1,0,1,0,53.8471570332353,"0"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",1,0,1,0,1,0,77.9462873908529,"1"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",0,1,1,0,0,1,82.6873436723589,"0"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",1,0,1,0,1,0,78.6318107326204,"1"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",0,1,1,0,0,1,65.7641861853011,"0"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",1,0,1,0,0,1,74.3018973623306,"1"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,82.7795686309626,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",0,1,1,0,1,0,65.9496017802871,"0"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",1,0,1,0,1,0,81.2981273968666,"1"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",1,0,1,0,1,0,71.0139189618731,"1"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",0,1,1,0,1,0,65.8839798598408,"0"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",1,0,1,0,0,1,79.5944717504569,"1"
22,"A680",72.822,0.993,0.004,0.002,"Env1",1,0,1,0,0,1,87.1069179485333,"1"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",1,0,1,0,1,0,91.8924658053776,"1"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",1,0,1,0,1,0,94.1318642085907,"1"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",1,0,1,0,0,1,92.7639136448214,"1"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",0,1,1,0,1,0,63.8454542883027,"0"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",0,1,1,0,0,1,69.6437902857834,"0"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",1,0,1,0,1,0,81.9480745889493,"1"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",1,0,1,0,0,1,69.2273243635681,"1"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",0,1,1,0,1,0,76.1119830253884,"0"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",1,0,1,0,0,1,92.7449501550205,"1"
32,"B164",71.7268,0.233,0.756,0.011,"Env1",1,0,1,0,1,0,84.8702669647317,"1"
33,"B2",70.1453,0.007,0.988,0.005,"Env1",0,1,1,0,1,0,70.7534669500709,"0"
34,"B37",74.1355,0.997,0.002,0.001,"Env1",0,1,1,0,0,1,77.096259952039,"0"
35,"B46",73.7353,0.214,0.784,0.002,"Env1",1,0,1,0,1,0,85.6059099364124,"1"
36,"B52",75.3501,0.012,0.985,0.003,"Env1",0,1,1,0,1,0,64.9748553908931,"0"
37,"B57",71.5856,0.002,0.996,0.002,"Env1",0,1,1,0,1,0,71.0256040383246,"0"
38,"B64",63.7854,0.988,0.002,0.01,"Env1",1,0,1,0,0,1,69.6739323703046,"1"
39,"B68",76.5085,0.998,0.001,0.001,"Env1",0,1,1,0,0,1,71.1746236021414,"0"
40,"B73",72.0762,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,85.105105886622,"1"
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1",0,1,1,0,0,1,74.5157793997555,"0"
42,"B75",71.7824,0.005,0.993,0.002,"Env1",0,1,1,0,1,0,77.8024292734934,"0"
