"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",1,0,1,0,1,0,82.9650104846984,"1"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",1,0,1,0,1,0,99.7488871081857,"1"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",0,1,1,0,1,0,66.8011538965765,"0"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",0,1,1,0,0,1,77.9188193381225,"0"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",0,1,1,0,1,0,64.0334920782996,"0"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",0,1,1,0,0,1,78.4256331582382,"0"
7,"A239",68.611,0.035,0.963,0.002,"Env1",0,1,1,0,1,0,64.1558612075204,"0"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",0,1,1,0,0,1,71.9220147950836,"0"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",1,0,1,0,0,1,96.7150543552863,"1"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",1,0,1,0,1,0,74.1896717591547,"1"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",0,1,1,0,1,0,75.3465585758746,"0"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",1,0,1,0,0,1,89.671736508245,"1"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",1,0,1,0,1,0,80.2571373471388,"1"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",0,1,1,0,0,1,68.4897242667355,"0"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",1,0,1,0,1,0,76.2741911696966,"1"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,83.7118572039818,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",1,0,1,0,0,1,82.4601678256084,"1"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",0,1,1,0,1,0,64.3450417841514,"0"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",1,0,1,0,1,0,80.8075350753762,"1"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",0,1,1,0,1,0,64.2580836224309,"0"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",0,1,1,0,0,1,71.424212655461,"0"
22,"A680",72.822,0.993,0.004,0.002,"Env1",0,1,1,0,0,1,73.0981390315284,"0"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",1,0,1,0,1,0,90.6548446031515,"1"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",1,0,1,0,1,0,103.40024412046,"1"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",0,1,1,0,1,0,73.2305551477232,"0"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",0,1,1,0,1,0,59.2342652453747,"0"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",1,0,1,0,0,1,82.5545394603972,"1"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",1,0,1,0,1,0,86.037048470757,"1"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",1,0,1,0,0,1,88.3817399601723,"1"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",0,1,1,0,1,0,69.8195544225386,"0"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",0,1,1,0,0,1,69.1487536950423,"0"
