"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",1,0,1,0,1,0,77.1537278001946,"1"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",0,1,1,0,1,0,76.0476238778556,"0"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",0,1,1,0,1,0,64.7810622547223,"0"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",0,1,1,0,1,0,78.7132147867828,"0"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",1,0,1,0,1,0,75.1498223319197,"1"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",1,0,1,0,0,1,89.7269909977686,"1"
7,"A239",68.611,0.035,0.963,0.002,"Env1",0,1,1,0,1,0,62.5947901879583,"0"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",0,1,1,0,0,1,70.9313824952326,"0"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",0,1,1,0,0,1,77.627543483214,"0"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",1,0,1,0,1,0,70.9573443467062,"1"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",0,1,1,0,1,0,61.968069361048,"0"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",0,1,1,0,0,1,82.0743920772133,"0"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",0,1,1,0,1,0,68.6742858619308,"0"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",0,1,1,0,0,1,68.6295060967059,"0"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",1,0,1,0,0,1,71.0630211023587,"1"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,71.9841055878945,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",0,1,1,0,0,1,56.5938820768962,"0"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",0,1,1,0,1,0,55.9032283455263,"0"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",0,1,1,0,1,0,68.6705612330289,"0"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",0,1,1,0,0,1,61.2391654213689,"0"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",1,0,1,0,1,0,72.6885213502354,"1"
22,"A680",72.822,0.993,0.004,0.002,"Env1",0,1,1,0,0,1,72.2786837450495,"0"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",1,0,1,0,1,0,79.9146892058707,"1"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",0,1,1,0,1,0,83.8269208773362,"0"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",0,1,1,0,0,1,89.0654215197416,"0"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",1,0,1,0,1,0,76.4827834325392,"1"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",1,0,1,0,0,1,78.0056060200564,"1"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",1,0,1,0,0,1,84.1523697225723,"1"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",0,1,1,0,0,1,72.8218847020391,"0"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",1,0,1,0,0,1,80.556566354175,"1"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",0,1,1,0,0,1,69.2315680772615,"0"
32,"B164",71.7268,0.233,0.756,0.011,"Env1",1,0,1,0,1,0,78.5965639410067,"1"
33,"B2",70.1453,0.007,0.988,0.005,"Env1",0,1,1,0,1,0,62.4060484767339,"0"
34,"B37",74.1355,0.997,0.002,0.001,"Env1",1,0,1,0,0,1,83.3721320920933,"1"
35,"B46",73.7353,0.214,0.784,0.002,"Env1",0,1,1,0,1,0,73.7938660080901,"0"
36,"B52",75.3501,0.012,0.985,0.003,"Env1",1,0,1,0,1,0,82.3469153275676,"1"
37,"B57",71.5856,0.002,0.996,0.002,"Env1",1,0,1,0,1,0,82.7117457080766,"1"
38,"B64",63.7854,0.988,0.002,0.01,"Env1",1,0,1,0,0,1,76.3373575346469,"1"
39,"B68",76.5085,0.998,0.001,0.001,"Env1",1,0,1,0,0,1,82.8568679810244,"1"
40,"B73",72.0762,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,78.988177052382,"1"
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,85.6518451201982,"1"
42,"B75",71.7824,0.005,0.993,0.002,"Env1",0,1,1,0,1,0,60.2319345436334,"0"
43,"B76",72.3682,0.912,0.087,0.001,"Env1",0,1,1,0,0,1,70.0068764480055,"0"
44,"B77",72.9512,0.083,0.915,0.002,"Env1",1,0,1,0,1,0,82.5435860037238,"1"
45,"B79",74.597,0.305,0.693,0.002,"Env1",0,1,1,0,1,0,77.6738505976879,"0"
46,"B84",75.2271,0.996,0.003,0.001,"Env1",1,0,1,0,0,1,78.0310872193959,"1"
47,"B97",74.188,0.016,0.981,0.003,"Env1",0,1,1,0,1,0,75.4270464696859,"0"
48,"C103",73.7944,0.002,0.997,0.001,"Env1",0,1,1,0,1,0,77.7025737818029,"0"
49,"C123",70.3352,0.047,0.952,0.002,"Env1",1,0,1,0,1,0,81.8525195269786,"1"
50,"C49A",61.4123,0.127,0.869,0.004,"Env1",0,1,1,0,1,0,60.0889088835601,"0"
51,"CH70130",69.5911,0.004,0.993,0.003,"Env1",0,1,1,0,1,0,64.2814457872982,"0"
52,"CH9",71.0825,0.003,0.992,0.006,"Env1",1,0,1,0,1,0,74.2650357664237,"1"
53,"CI1872",76.8145,0.006,0.992,0.002,"Env1",0,1,1,0,1,0,88.1857875370716,"0"
54,"CI21E",76.1651,0.119,0.866,0.014,"Env1",1,0,1,0,1,0,80.1903882274113,"1"
55,"CI28A",76.5779,0.004,0.749,0.247,"Env1",0,1,1,0,1,0,71.1843228967465,"0"
56,"CI31A",80.2225,0.002,0.994,0.004,"Env1",1,0,1,0,1,0,82.3827412433184,"1"
57,"CI3A",78.3931,0.083,0.905,0.012,"Env1",0,1,1,0,1,0,70.7203971887016,"0"
58,"CI64",76.727,0.012,0.986,0.002,"Env1",1,0,1,0,1,0,81.2444056710178,"1"
59,"CI66",82.7365,0.011,0.935,0.054,"Env1",0,1,1,0,1,0,76.2292565401577,"0"
60,"CI7",75.9223,0.004,0.994,0.001,"Env1",0,1,1,0,1,0,82.1324173366556,"0"
61,"CI90C",79.0715,0.003,0.737,0.26,"Env1",0,1,1,0,1,0,78.8239882018273,"0"
62,"CI91B",74.0808,0.002,0.997,0.002,"Env1",0,1,1,0,1,0,76.4015617228998,"0"
63,"CM105",63.3495,0.995,0.004,0.001,"Env1",0,1,1,0,0,1,57.3049383301965,"0"
64,"CM174",62.7155,0.997,0.002,0.001,"Env1",0,1,1,0,0,1,63.5040090765382,"0"
65,"CM37",56.9015,0.013,0.969,0.017,"Env1",0,1,1,0,1,0,58.1801825428448,"0"
66,"CM7",59.8961,0.059,0.939,0.002,"Env1",1,0,1,0,0,1,64.6504908165941,"1"
67,"CML10",94.6511,0.002,0.002,0.995,"Env1",1,0,1,0,0,1,102.660576217951,"1"
68,"CML103",76.315,0.003,0.005,0.992,"Env1",0,1,1,0,0,1,83.8706397690249,"0"
