"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",1,0,1,0,1,0,77.7989776663028,"1"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",1,0,1,0,1,0,80.955832069707,"1"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",1,0,1,0,1,0,80.4470067889127,"1"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",0,1,1,0,1,0,78.0377861740963,"0"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",0,1,1,0,1,0,49.7489086064053,"0"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",1,0,1,0,0,1,82.1449792125983,"1"
7,"A239",68.611,0.035,0.963,0.002,"Env1",1,0,1,0,1,0,71.7901523988413,"1"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",1,0,1,0,0,1,72.4038095317077,"1"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",1,0,1,0,1,0,78.5675251207016,"1"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",1,0,1,0,1,0,66.8348413431308,"1"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",0,1,1,0,1,0,67.9072681215478,"0"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",0,1,1,0,0,1,70.653879627202,"0"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",1,0,1,0,1,0,77.1154693397646,"1"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",0,1,1,0,0,1,68.5992218807375,"0"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",1,0,1,0,0,1,73.6016871023492,"1"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,72.303226285822,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",1,0,1,0,0,1,74.8337324572898,"1"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",1,0,1,0,1,0,61.4717217109075,"1"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",1,0,1,0,1,0,72.9452267429462,"1"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",0,1,1,0,1,0,65.0017148460413,"0"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",0,1,1,0,1,0,69.0744878232692,"0"
22,"A680",72.822,0.993,0.004,0.002,"Env1",0,1,1,0,0,1,75.087379442654,"0"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",0,1,1,0,1,0,67.7298108383747,"0"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",0,1,1,0,1,0,88.3682378483819,"0"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",0,1,1,0,1,0,77.6876057099811,"0"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",0,1,1,0,0,1,63.1280681673308,"0"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",0,1,1,0,0,1,68.3558242651187,"0"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",1,0,1,0,1,0,84.3749489825155,"1"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",1,0,1,0,0,1,74.4034658931019,"1"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",0,1,1,0,1,0,70.7589868525818,"0"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",0,1,1,0,0,1,87.9982078450873,"0"
32,"B164",71.7268,0.233,0.756,0.011,"Env1",0,1,1,0,1,0,73.3978589407277,"0"
33,"B2",70.1453,0.007,0.988,0.005,"Env1",0,1,1,0,1,0,75.0277873246492,"0"
34,"B37",74.1355,0.997,0.002,0.001,"Env1",1,0,1,0,0,1,77.1211705099575,"1"
35,"B46",73.7353,0.214,0.784,0.002,"Env1",0,1,1,0,0,1,73.0814685774896,"0"
36,"B52",75.3501,0.012,0.985,0.003,"Env1",1,0,1,0,1,0,76.8578972879564,"1"
37,"B57",71.5856,0.002,0.996,0.002,"Env1",1,0,1,0,1,0,75.6165575740997,"1"
38,"B64",63.7854,0.988,0.002,0.01,"Env1",1,0,1,0,0,1,70.0617787179373,"1"
39,"B68",76.5085,0.998,0.001,0.001,"Env1",1,0,1,0,0,1,82.7977536057272,"1"
40,"B73",72.0762,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,79.9979447629523,"1"
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1",1,0,1,0,0,1,79.3404951670318,"1"
42,"B75",71.7824,0.005,0.993,0.002,"Env1",1,0,1,0,1,0,74.024220655649,"1"
43,"B76",72.3682,0.912,0.087,0.001,"Env1",0,1,1,0,0,1,81.0449412063402,"0"
44,"B77",72.9512,0.083,0.915,0.002,"Env1",0,1,1,0,1,0,71.9595305381082,"0"
