"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","snpPresence","snpAbsence","envE1Presence","envE2Presence","BackgroundPresence","BackgroundAbsence","Phenotype","SNPPresenceFactor"
1,"3316",75.6091,0.014,0.972,0.014,"Env1",1,0,1,0,1,0,70.456181260133,"1"
2,"3811",78.7223,0.003,0.993,0.004,"Env1",1,0,1,0,1,0,87.7539752495247,"1"
3,"4226",66.6023,0.071,0.917,0.012,"Env1",1,0,1,0,1,0,61.8728865709548,"1"
4,"4722",78.9496,0.035,0.854,0.111,"Env1",1,0,1,0,1,0,83.3452134170182,"1"
5,"A188",61.1269,0.013,0.982,0.006,"Env1",1,0,1,0,1,0,63.9046129640291,"1"
6,"A214N",81.1063,0.762,0.017,0.221,"Env1",0,1,1,0,0,1,87.022728513952,"0"
7,"A239",68.611,0.035,0.963,0.002,"Env1",0,1,1,0,1,0,79.5576815501889,"0"
8,"A272",70.4043,0.019,0.122,0.859,"Env1",0,1,1,0,0,1,70.9051229986282,"0"
9,"A4415",77.7701,0.005,0.531,0.464,"Env1",1,0,1,0,1,0,83.8167974536424,"1"
10,"A554",62.5807,0.019,0.979,0.002,"Env1",1,0,1,0,1,0,61.4037740333275,"1"
11,"A556",64.1548,0.004,0.994,0.002,"Env1",1,0,1,0,1,0,74.797062419611,"1"
12,"A6",82.0828,0.003,0.03,0.967,"Env1",0,1,1,0,0,1,85.2193064216255,"0"
13,"A619",69.4189,0.009,0.99,0.001,"Env1",0,1,1,0,1,0,67.2176568301937,"0"
14,"A632",69.4034,0.993,0.004,0.004,"Env1",1,0,1,0,0,1,78.0940695394452,"1"
15,"A634",66.9987,0.897,0.1,0.004,"Env1",0,1,1,0,0,1,71.2302505046157,"0"
16,"A635",74.847,0.825,0.171,0.004,"Env1",0,1,1,0,0,1,81.3418416177324,"0"
17,"A641",64.1534,0.517,0.481,0.002,"Env1",1,0,1,0,0,1,62.6532251031194,"1"
18,"A654",61.7508,0.083,0.915,0.002,"Env1",0,1,1,0,1,0,56.7935337328183,"0"
19,"A659",70.5385,0.006,0.991,0.002,"Env1",1,0,1,0,1,0,69.4102624163403,"1"
20,"A661",65.2638,0.111,0.852,0.037,"Env1",1,0,1,0,1,0,68.5823375441572,"1"
21,"A679",68.2021,0.862,0.127,0.011,"Env1",0,1,1,0,0,1,64.5410205521959,"0"
22,"A680",72.822,0.993,0.004,0.002,"Env1",1,0,1,0,0,1,74.960988473699,"1"
23,"A682",68.8663,0.002,0.997,0.001,"Env1",0,1,1,0,1,0,69.0112603277378,"0"
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1",0,1,1,0,1,0,81.0085696052494,"0"
25,"B10",80.3665,0.429,0.57,0.002,"Env1",0,1,1,0,1,0,79.2838822329428,"0"
26,"B103",68.0784,0.163,0.829,0.009,"Env1",0,1,1,0,1,0,73.7969335967981,"0"
27,"B104",73.0927,0.694,0.305,0.002,"Env1",1,0,1,0,1,0,76.0701686971856,"1"
28,"B105",74.4904,0.397,0.566,0.037,"Env1",1,0,1,0,1,0,75.1344844190747,"1"
29,"B109",69.1111,0.995,0.003,0.002,"Env1",1,0,1,0,0,1,72.9102522977003,"1"
30,"B115",75.0215,0.061,0.847,0.092,"Env1",0,1,1,0,1,0,73.9944345953463,"0"
31,"B14A",74.1976,0.998,0.001,0.001,"Env1",1,0,1,0,0,1,71.1432395578916,"1"
32,"B164",71.7268,0.233,0.756,0.011,"Env1",0,1,1,0,0,1,78.7847578165056,"0"
33,"B2",70.1453,0.007,0.988,0.005,"Env1",0,1,1,0,1,0,69.9126168866862,"0"
