"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,75.1974812742789
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,77.5038510148296
3,"4226",66.6023,0.071,0.917,0.012,"Env1","1",1,0,70.8055458576646
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,79.9022663151253
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,34.0800872838189
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,66.9031556695339
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,53.2682663663474
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,86.869177028418
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,73.6883174085702
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,56.9021250043455
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,82.5047578575405
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,94.5802805299388
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,77.284893316008
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,46.5278457285426
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,78.2853153635281
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,85.7404280378199
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,86.7164506627218
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,34.4767640331491
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,31.9414028011482
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,68.8897509392801
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,72.9603487827646
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,49.959294277026
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,74.8594274665575
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,86.1427037902724
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,88.7035054411866
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,62.1645321845114
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,74.8008274253672
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,105.333542573617
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,58.663581848003
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,71.2075245518666
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,68.8577879138413
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,80.5719516444634
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,44.8022437201355
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,60.7648954451011
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,78.2661550011208
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,82.706314516843
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,74.4779978368792
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,59.3017580217698
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,91.0254630659949
40,"B73",72.0762,0.999,0.001,0.001,"Env1","0",1,1,94.2111289491171
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1","0",1,1,107.278127895607
42,"B75",71.7824,0.005,0.993,0.002,"Env1","0",1,1,51.9261057987449
43,"B76",72.3682,0.912,0.087,0.001,"Env1","0",1,1,56.2941061756527
44,"B77",72.9512,0.083,0.915,0.002,"Env1","0",1,1,73.1828302850763
45,"B79",74.597,0.305,0.693,0.002,"Env1","0",1,1,86.2748671110578
46,"B84",75.2271,0.996,0.003,0.001,"Env1","0",1,1,42.1323407696498
47,"B97",74.188,0.016,0.981,0.003,"Env1","0",1,1,63.7184837117478
48,"C103",73.7944,0.002,0.997,0.001,"Env1","0",1,1,61.7756551672987
49,"C123",70.3352,0.047,0.952,0.002,"Env1","0",1,1,78.3323400706131
50,"C49A",61.4123,0.127,0.869,0.004,"Env1","0",1,1,53.493344763
51,"CH70130",69.5911,0.004,0.993,0.003,"Env1","0",1,1,76.7116711863802
52,"CH9",71.0825,0.003,0.992,0.006,"Env1","0",1,1,79.222579171113
53,"CI1872",76.8145,0.006,0.992,0.002,"Env1","0",1,1,82.1371214340774
54,"CI21E",76.1651,0.119,0.866,0.014,"Env1","0",1,1,85.7282410792456
55,"CI28A",76.5779,0.004,0.749,0.247,"Env1","0",1,1,58.7676945294659
56,"CI31A",80.2225,0.002,0.994,0.004,"Env1","0",1,1,78.0028015266434
57,"CI3A",78.3931,0.083,0.905,0.012,"Env1","0",1,1,58.4876389708828
58,"CI64",76.727,0.012,0.986,0.002,"Env1","0",1,1,79.5941707082126
59,"CI66",82.7365,0.011,0.935,0.054,"Env1","1",1,0,87.3069108653781
60,"CI7",75.9223,0.004,0.994,0.001,"Env1","0",1,1,61.1320750118498
61,"CI90C",79.0715,0.003,0.737,0.26,"Env1","0",1,1,55.4118429068545
62,"CI91B",74.0808,0.002,0.997,0.002,"Env1","0",1,1,46.2625793177166
63,"CM105",63.3495,0.995,0.004,0.001,"Env1","0",1,1,62.4913970419211
64,"CM174",62.7155,0.997,0.002,0.001,"Env1","0",1,1,46.0088931701305
65,"CM37",56.9015,0.013,0.969,0.017,"Env1","0",1,1,80.3764884136839
66,"CM7",59.8961,0.059,0.939,0.002,"Env1","0",1,1,51.6844424168911
67,"CML10",94.6511,0.002,0.002,0.995,"Env1","0",1,1,81.9405568158608
68,"CML103",76.315,0.003,0.005,0.992,"Env1","0",1,1,70.9609919853562
