"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,96.5996293270935
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,45.0663749846655
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,44.8412386431854
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,39.0956599613168
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,68.6477452705309
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,81.532475023881
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,69.1719736120399
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,84.6414656999854
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,63.1903532969793
10,"A554",62.5807,0.019,0.979,0.002,"Env1","1",1,0,94.3229417874926
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,84.1217380178235
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,105.418413193255
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,69.6543349542429
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,93.4309865445542
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,50.97506871748
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,70.6665419715437
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,93.0164900899905
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,62.5025274784839
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,79.6358615309606
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,74.1700322001475
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,46.6573334556835
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,58.826014993894
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,39.5611177609007
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,77.8628305156559
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,95.5306337783044
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,88.4801360540178
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,60.4734859390414
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,72.7886525249358
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,55.5237511242334
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,93.0572331977166
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,68.0364631414635
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,83.2195966656116
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,45.9916817592842
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,67.8245600663732
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,65.7136166360038
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,62.0705668341606
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,67.1157026491362
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,55.9933659395768
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,84.7362814624808
40,"B73",72.0762,0.999,0.001,0.001,"Env1","0",1,1,77.0139949081068
