"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,80.9682738429743
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,74.6799362075532
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,56.7392233103088
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,64.6821581673341
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,41.4384561614381
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,100.86950060786
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,74.0271732047901
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,55.0214520210606
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,76.1356226324009
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,64.3026435244112
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,67.1358152194841
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,84.9022576192757
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,68.1870724979382
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,50.6275789590795
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,77.8509866912112
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,83.7680708104584
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,113.215602015319
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,61.4822380741817
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,67.1470217902104
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,66.3488737836106
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,77.9607223941867
22,"A680",72.822,0.993,0.004,0.002,"Env1","1",1,0,75.1723523802178
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,61.6006243691893
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,79.6226236474688
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,73.1271063694301
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,48.4960451333493
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,110.608154018092
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,66.1634904369766
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,79.8124621204857
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,95.0248702441374
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,55.1394548495732
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,54.4204927027195
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,75.2105976588692
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,81.6032269733636
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,48.2673520201674
36,"B52",75.3501,0.012,0.985,0.003,"Env1","1",1,0,71.6508012732392
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,59.9691221953132
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,49.2804866157148
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,94.080855432595
40,"B73",72.0762,0.999,0.001,0.001,"Env1","0",1,1,52.1687097006754
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1","0",1,1,69.8371923175143
42,"B75",71.7824,0.005,0.993,0.002,"Env1","0",1,1,61.9180043003777
43,"B76",72.3682,0.912,0.087,0.001,"Env1","0",1,1,72.7238491891458
44,"B77",72.9512,0.083,0.915,0.002,"Env1","0",1,1,70.7027313673841
45,"B79",74.597,0.305,0.693,0.002,"Env1","0",1,1,89.383383822259
46,"B84",75.2271,0.996,0.003,0.001,"Env1","0",1,1,87.6635940932997
47,"B97",74.188,0.016,0.981,0.003,"Env1","0",1,1,81.8709305366328
48,"C103",73.7944,0.002,0.997,0.001,"Env1","0",1,1,57.7263539202063
49,"C123",70.3352,0.047,0.952,0.002,"Env1","0",1,1,23.1577319541573
50,"C49A",61.4123,0.127,0.869,0.004,"Env1","0",1,1,65.2772587808573
51,"CH70130",69.5911,0.004,0.993,0.003,"Env1","0",1,1,96.3576742295427
52,"CH9",71.0825,0.003,0.992,0.006,"Env1","1",1,0,96.7235776843952
53,"CI1872",76.8145,0.006,0.992,0.002,"Env1","1",1,0,94.806232177892
54,"CI21E",76.1651,0.119,0.866,0.014,"Env1","0",1,1,67.4438123867485
55,"CI28A",76.5779,0.004,0.749,0.247,"Env1","0",1,1,70.4010283242822
56,"CI31A",80.2225,0.002,0.994,0.004,"Env1","0",1,1,95.5283594675679
57,"CI3A",78.3931,0.083,0.905,0.012,"Env1","0",1,1,72.8308478528221
58,"CI64",76.727,0.012,0.986,0.002,"Env1","0",1,1,84.8977220476461
59,"CI66",82.7365,0.011,0.935,0.054,"Env1","0",1,1,88.7261812667139
60,"CI7",75.9223,0.004,0.994,0.001,"Env1","0",1,1,52.7544965317354
61,"CI90C",79.0715,0.003,0.737,0.26,"Env1","0",1,1,67.1570303396421
62,"CI91B",74.0808,0.002,0.997,0.002,"Env1","0",1,1,77.4472364684683
63,"CM105",63.3495,0.995,0.004,0.001,"Env1","0",1,1,60.8589899156509
64,"CM174",62.7155,0.997,0.002,0.001,"Env1","0",1,1,73.3676768145042
65,"CM37",56.9015,0.013,0.969,0.017,"Env1","0",1,1,57.3279530126193
66,"CM7",59.8961,0.059,0.939,0.002,"Env1","0",1,1,49.3251304214004
67,"CML10",94.6511,0.002,0.002,0.995,"Env1","0",1,1,86.6495887202925
68,"CML103",76.315,0.003,0.005,0.992,"Env1","0",1,1,105.994098566398
69,"CML108",81.1927,0.002,0.099,0.899,"Env1","0",1,1,65.0960600114807
70,"CML11",88.4198,0.003,0.002,0.995,"Env1","0",1,1,84.0256057813522
71,"CML14",96.565,0.001,0.001,0.998,"Env1","0",1,1,66.5803719432501
72,"CML154Q",77.306,0.002,0.005,0.993,"Env1","0",1,1,87.6376136353323
73,"CML157Q",80.9917,0.004,0.018,0.978,"Env1","0",1,1,75.5683144084243
74,"CML158Q",85.7192,0.01,0.018,0.971,"Env1","1",1,0,122.696800249894
75,"CML218",80.3192,0.01,0.301,0.689,"Env1","0",1,1,63.8694771008231
76,"CML220",75.4254,0.059,0.053,0.887,"Env1","0",1,1,57.7373026742148
77,"CML228",88.68,0.003,0.002,0.995,"Env1","0",1,1,66.3925304766542
78,"CML238",85.8408,0.001,0.004,0.995,"Env1","0",1,1,88.1665849739948
79,"CML247",90.0765,0.003,0.006,0.991,"Env1","0",1,1,97.462239300251
80,"CML254",105.276,0.001,0.006,0.993,"Env1","0",1,1,123.675787886683
81,"CML258",97.208,0.001,0.002,0.996,"Env1","0",1,1,110.6178172457
82,"CML261",97.0905,0.016,0.004,0.981,"Env1","1",1,0,134.474446615479
83,"CML264",113.8464,0.002,0.001,0.997,"Env1","0",1,1,121.936579697309
84,"CML277",88.5572,0.001,0.004,0.995,"Env1","0",1,1,65.5673485334865
85,"CML281",103.6257,0.023,0.046,0.931,"Env1","0",1,1,92.7959368286757
86,"CML287",95.2476,0.004,0.022,0.974,"Env1","0",1,1,90.7680039665528
87,"CML311",92.2112,0.004,0.114,0.882,"Env1","0",1,1,84.7294963890203
88,"CML314",83.3483,0.003,0.002,0.995,"Env1","0",1,1,75.4122344925127
89,"CML321",90.6385,0.027,0.008,0.966,"Env1","0",1,1,97.0775841843897
90,"CML322",78.4872,0.01,0.005,0.985,"Env1","0",1,1,69.5362845769684
91,"CML323",78.2786,0.007,0.34,0.653,"Env1","0",1,1,32.5754138742073
92,"CML328",82.8199,0.002,0.357,0.641,"Env1","0",1,1,81.0976897902235
93,"CML331",95.0247,0.002,0.003,0.994,"Env1","0",1,1,84.5866718453261
94,"CML332",84.3217,0.002,0.003,0.994,"Env1","1",1,0,108.020299144453
95,"CML333",78.554,0.013,0.029,0.959,"Env1","0",1,1,99.7564377669848
96,"CML341",88.0196,0.002,0.004,0.995,"Env1","0",1,1,85.3494021712134
97,"CML38",89.2113,0.001,0.002,0.997,"Env1","0",1,1,84.7830470066427
98,"CML45",99.629,0.001,0.002,0.997,"Env1","0",1,1,104.766434840256
99,"CML5",95.8391,0.001,0.034,0.965,"Env1","0",1,1,85.9774576856843
100,"CML52",91.8288,0.002,0.01,0.988,"Env1","0",1,1,89.8000765291455
101,"CML61",113.6148,0.002,0.004,0.994,"Env1","0",1,1,116.154291482414
102,"CML69",84.73,0.006,0.028,0.966,"Env1","0",1,1,100.741357029754
