"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,100.29250582024
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,77.9965137839708
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,71.5501639790025
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,78.2312603923237
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,55.417795686422
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,80.831865581368
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,67.4715870036054
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,55.6183267132127
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,78.2903538657575
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,57.9145447951049
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,49.4007521270602
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,76.1127923209262
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,57.3563159197921
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,54.9412035487106
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,67.260216366493
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,69.0590494088682
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,52.6471048608771
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,67.6595379272971
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,52.1498981412127
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,71.092722589241
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,59.9971377306352
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,62.6294775083007
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,79.0034269412806
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,80.219702007533
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,104.53594904608
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,79.2175531447337
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,70.6566792210702
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,72.1934502382198
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,65.9907178421525
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,80.8480683173007
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,85.4185138216881
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,63.8052949488283
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,55.7865590990223
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,90.1779744975577
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,68.7417390107372
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,80.5017989445998
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,49.2585780865372
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,63.6216726508222
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,107.745078107938
40,"B73",72.0762,0.999,0.001,0.001,"Env1","0",1,1,54.3013144436982
41,"B73HTRHM",72.3007,0.999,0.001,0.001,"Env1","0",1,1,95.007967489585
42,"B75",71.7824,0.005,0.993,0.002,"Env1","0",1,1,84.2087229207944
43,"B76",72.3682,0.912,0.087,0.001,"Env1","0",1,1,74.4229350214645
44,"B77",72.9512,0.083,0.915,0.002,"Env1","0",1,1,120.356746723233
45,"B79",74.597,0.305,0.693,0.002,"Env1","0",1,1,72.0058699808589
46,"B84",75.2271,0.996,0.003,0.001,"Env1","0",1,1,70.9767828081329
