"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,42.5733740369705
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,88.2155473366314
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,97.9076023570267
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,84.6990203134519
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,26.3526404516113
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","0",1,1,85.5674241901558
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,38.7614969268439
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,63.8169987641906
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,46.352206203971
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,37.7970889556052
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,65.837611557356
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,85.2506410268972
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,73.7348894363932
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,41.9654706436102
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,63.966470857866
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,76.5485479910004
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,52.4871216120341
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,66.8608609237758
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,66.3796648669995
20,"A661",65.2638,0.111,0.852,0.037,"Env1","1",1,0,70.5401950639414
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,57.9332639770974
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,70.837946114964
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,69.9077375452131
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,96.1772576956708
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,66.7626005044731
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,63.7237645808306
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,75.683226414975
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,73.8302448587126
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,78.2319871840284
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,67.6181948113963
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,77.2271285101689
32,"B164",71.7268,0.233,0.756,0.011,"Env1","0",1,1,73.7255363791849
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,115.614374087146
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,65.4830251261301
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,85.701281137147
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,63.1709215517994
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,76.1376898410735
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,55.4667477634638
