"TaxaOrder","Taxa","daysToSilk","popStiffStalk","popNonStiffStalk","popTropical","Env","SNPPresence","Env1Presence","SNPAbsence","Phenotype"
1,"3316",75.6091,0.014,0.972,0.014,"Env1","0",1,1,87.1189760037316
2,"3811",78.7223,0.003,0.993,0.004,"Env1","0",1,1,81.6834575579261
3,"4226",66.6023,0.071,0.917,0.012,"Env1","0",1,1,67.4377663889234
4,"4722",78.9496,0.035,0.854,0.111,"Env1","0",1,1,72.7231120214776
5,"A188",61.1269,0.013,0.982,0.006,"Env1","0",1,1,26.864254711371
6,"A214N",81.1063,0.762,0.017,0.221,"Env1","1",1,0,85.648095793225
7,"A239",68.611,0.035,0.963,0.002,"Env1","0",1,1,78.8212175616171
8,"A272",70.4043,0.019,0.122,0.859,"Env1","0",1,1,102.523067902305
9,"A4415",77.7701,0.005,0.531,0.464,"Env1","0",1,1,88.9423238319991
10,"A554",62.5807,0.019,0.979,0.002,"Env1","0",1,1,70.2297604797445
11,"A556",64.1548,0.004,0.994,0.002,"Env1","0",1,1,92.2701749799955
12,"A6",82.0828,0.003,0.03,0.967,"Env1","0",1,1,65.2494168266821
13,"A619",69.4189,0.009,0.99,0.001,"Env1","0",1,1,44.6876139789245
14,"A632",69.4034,0.993,0.004,0.004,"Env1","0",1,1,68.9347328482256
15,"A634",66.9987,0.897,0.1,0.004,"Env1","0",1,1,81.3137684150064
16,"A635",74.847,0.825,0.171,0.004,"Env1","0",1,1,54.6023898879364
17,"A641",64.1534,0.517,0.481,0.002,"Env1","0",1,1,61.9086697736002
18,"A654",61.7508,0.083,0.915,0.002,"Env1","0",1,1,55.3235312780804
19,"A659",70.5385,0.006,0.991,0.002,"Env1","0",1,1,63.9862181309412
20,"A661",65.2638,0.111,0.852,0.037,"Env1","0",1,1,56.9548994374662
21,"A679",68.2021,0.862,0.127,0.011,"Env1","0",1,1,56.469739654777
22,"A680",72.822,0.993,0.004,0.002,"Env1","0",1,1,82.511359669787
23,"A682",68.8663,0.002,0.997,0.001,"Env1","0",1,1,78.0276337951008
24,"AB28A",82.8519,0.002,0.776,0.222,"Env1","0",1,1,86.0863497152221
25,"B10",80.3665,0.429,0.57,0.002,"Env1","0",1,1,83.6307233702865
26,"B103",68.0784,0.163,0.829,0.009,"Env1","0",1,1,81.77343875535
27,"B104",73.0927,0.694,0.305,0.002,"Env1","0",1,1,63.1380467395899
28,"B105",74.4904,0.397,0.566,0.037,"Env1","0",1,1,91.1174969668774
29,"B109",69.1111,0.995,0.003,0.002,"Env1","0",1,1,81.2147361360834
30,"B115",75.0215,0.061,0.847,0.092,"Env1","0",1,1,92.2629761346914
31,"B14A",74.1976,0.998,0.001,0.001,"Env1","0",1,1,86.5990758438476
32,"B164",71.7268,0.233,0.756,0.011,"Env1","1",1,0,62.1771662750853
33,"B2",70.1453,0.007,0.988,0.005,"Env1","0",1,1,47.1077530937115
34,"B37",74.1355,0.997,0.002,0.001,"Env1","0",1,1,98.6947067988463
35,"B46",73.7353,0.214,0.784,0.002,"Env1","0",1,1,76.1855046107616
36,"B52",75.3501,0.012,0.985,0.003,"Env1","0",1,1,57.7524571808596
37,"B57",71.5856,0.002,0.996,0.002,"Env1","0",1,1,73.1878734519958
38,"B64",63.7854,0.988,0.002,0.01,"Env1","0",1,1,76.8050644989193
39,"B68",76.5085,0.998,0.001,0.001,"Env1","0",1,1,66.2839679977203
